BaRT_ID;HORVU_ID
BaRT2v18chr1HG002230;HORVU.MOREX.r3.1HG0004220
BaRT2v18chr1HG002840;HORVU.MOREX.r3.1HG0005580
BaRT2v18chr1HG006350;HORVU.MOREX.r3.1HG0013820
BaRT2v18chr1HG010750;HORVU.MOREX.r3.1HG0022440
BaRT2v18chr1HG011570;HORVU.MOREX.r3.1HG0024280
BaRT2v18chr1HG011780;HORVU.MOREX.r3.1HG0024740
BaRT2v18chr1HG014500;HORVU.MOREX.r3.1HG0032710
BaRT2v18chr1HG015020;HORVU.MOREX.r3.1HG0034230
BaRT2v18chr1HG016200;HORVU.MOREX.r3.1HG0037250
BaRT2v18chr1HG016820;HORVU.MOREX.r3.1HG0038800
BaRT2v18chr1HG017980;HORVU.MOREX.r3.1HG0041280
BaRT2v18chr1HG018110;HORVU.MOREX.r3.1HG0041600
BaRT2v18chr1HG019130;HORVU.MOREX.r3.1HG0044150
BaRT2v18chr1HG019910;HORVU.MOREX.r3.1HG0046030
BaRT2v18chr1HG021380;HORVU.MOREX.r3.1HG0049340
BaRT2v18chr1HG021380;HORVU.MOREX.r3.1HG0049340
BaRT2v18chr1HG021540;HORVU.MOREX.r3.1HG0049600
BaRT2v18chr1HG022030;HORVU.MOREX.r3.1HG0050630
BaRT2v18chr1HG023710;HORVU.MOREX.r3.1HG0053700
BaRT2v18chr1HG023960;HORVU.MOREX.r3.1HG0054000
BaRT2v18chr1HG029570;HORVU.MOREX.r3.1HG0063610
BaRT2v18chr1HG031540;HORVU.MOREX.r3.1HG0066900
BaRT2v18chr1HG032480;HORVU.MOREX.r3.1HG0068010
BaRT2v18chr1HG036030;HORVU.MOREX.r3.1HG0073500
BaRT2v18chr1HG036560;HORVU.MOREX.r3.1HG0074190
BaRT2v18chr1HG037770;HORVU.MOREX.r3.1HG0076150
BaRT2v18chr1HG043850;HORVU.MOREX.r3.1HG0085550
BaRT2v18chr1HG047420;HORVU.MOREX.r3.1HG0092190
BaRT2v18chr1HG048960;HORVU.MOREX.r3.1HG0094560
BaRT2v18chr2HG051380;HORVU.MOREX.r3.2HG0098410
BaRT2v18chr2HG055050;HORVU.MOREX.r3.2HG0105420
BaRT2v18chr2HG055100;HORVU.MOREX.r3.2HG0105520
BaRT2v18chr2HG055100;HORVU.MOREX.r3.2HG0105540
BaRT2v18chr2HG055840;HORVU.MOREX.r3.2HG0107190
BaRT2v18chr2HG059550;HORVU.MOREX.r3.2HG0113660
BaRT2v18chr2HG062780;HORVU.MOREX.r3.2HG0119860
BaRT2v18chr2HG064010;HORVU.MOREX.r3.2HG0122100
BaRT2v18chr2HG064210;HORVU.MOREX.r3.2HG0122450
BaRT2v18chr2HG068360;HORVU.MOREX.r3.2HG0131040
BaRT2v18chr2HG068650;HORVU.MOREX.r3.2HG0131530
BaRT2v18chr2HG069470;HORVU.MOREX.r3.2HG0133330
BaRT2v18chr2HG069790;HORVU.MOREX.r3.2HG0133880
BaRT2v18chr2HG072420;HORVU.MOREX.r3.2HG0139470
BaRT2v18chr2HG073100;HORVU.MOREX.r3.2HG0141400
BaRT2v18chr2HG074360;HORVU.MOREX.r3.2HG0144830
BaRT2v18chr2HG075930;HORVU.MOREX.r3.2HG0149060
BaRT2v18chr2HG077460;HORVU.MOREX.r3.2HG0153260
BaRT2v18chr2HG078600;HORVU.MOREX.r3.2HG0155750
BaRT2v18chr2HG083720;HORVU.MOREX.r3.2HG0167300
BaRT2v18chr2HG084720;HORVU.MOREX.r3.2HG0169420
BaRT2v18chr2HG086110;HORVU.MOREX.r3.2HG0172320
BaRT2v18chr2HG089050;HORVU.MOREX.r3.2HG0176800
BaRT2v18chr2HG091270;HORVU.MOREX.r3.2HG0180490
BaRT2v18chr2HG095490;HORVU.MOREX.r3.2HG0187360
BaRT2v18chr2HG097660;HORVU.MOREX.r3.2HG0190660
BaRT2v18chr2HG098310;HORVU.MOREX.r3.2HG0191610
BaRT2v18chr2HG098800;HORVU.MOREX.r3.2HG0192510
BaRT2v18chr2HG100860;HORVU.MOREX.r3.2HG0194280
BaRT2v18chr2HG106690;HORVU.MOREX.r3.2HG0204020
BaRT2v18chr2HG108330;HORVU.MOREX.r3.2HG0206630
BaRT2v18chr2HG108760;HORVU.MOREX.r3.2HG0207270
BaRT2v18chr3HG114940;HORVU.MOREX.r3.3HG0218410
BaRT2v18chr3HG120240;HORVU.MOREX.r3.3HG0228860
BaRT2v18chr3HG121340;HORVU.MOREX.r3.3HG0230940
BaRT2v18chr3HG122610;HORVU.MOREX.r3.3HG0232840
BaRT2v18chr3HG122780;HORVU.MOREX.r3.3HG0233200
BaRT2v18chr3HG122880;HORVU.MOREX.r3.3HG0233610
BaRT2v18chr3HG126690;HORVU.MOREX.r3.3HG0240590
BaRT2v18chr3HG126690;HORVU.MOREX.r3.3HG0240590
BaRT2v18chr3HG132390;HORVU.MOREX.r3.3HG0252270
BaRT2v18chr3HG139620;HORVU.MOREX.r3.3HG0270100
BaRT2v18chr3HG139850;HORVU.MOREX.r3.3HG0270750
BaRT2v18chr3HG140210;HORVU.MOREX.r3.3HG0271550
BaRT2v18chr3HG142760;HORVU.MOREX.r3.3HG0277200
BaRT2v18chr3HG143530;HORVU.MOREX.r3.3HG0279110
BaRT2v18chr3HG144770;HORVU.MOREX.r3.3HG0281240
BaRT2v18chr3HG145560;HORVU.MOREX.r3.3HG0282840
BaRT2v18chr3HG146760;HORVU.MOREX.r3.3HG0285100
BaRT2v18chr3HG146820;HORVU.MOREX.r3.3HG0285210
BaRT2v18chr3HG148350;HORVU.MOREX.r3.3HG0287740
BaRT2v18chr3HG150320;HORVU.MOREX.r3.3HG0290950
BaRT2v18chr3HG154090;HORVU.MOREX.r3.3HG0297100
BaRT2v18chr3HG159280;HORVU.MOREX.r3.3HG0305100
BaRT2v18chr3HG160020;HORVU.MOREX.r3.3HG0306040
BaRT2v18chr3HG173430;HORVU.MOREX.r3.3HG0330120
BaRT2v18chr3HG174030;HORVU.MOREX.r3.3HG0330810
BaRT2v18chr4HG176140;HORVU.MOREX.r3.4HG0333810
BaRT2v18chr4HG180140;HORVU.MOREX.r3.4HG0339590
BaRT2v18chr4HG190920;HORVU.MOREX.r3.4HG0362920
BaRT2v18chr4HG196540;HORVU.MOREX.r3.4HG0378860
BaRT2v18chr4HG199480;HORVU.MOREX.r3.4HG0384390
BaRT2v18chr4HG202040;HORVU.MOREX.r3.4HG0389180
BaRT2v18chr4HG203760;HORVU.MOREX.r3.4HG0392110
BaRT2v18chr4HG205780;HORVU.MOREX.r3.4HG0395220
BaRT2v18chr4HG206240;HORVU.MOREX.r3.4HG0396080
BaRT2v18chr4HG215120;HORVU.MOREX.r3.4HG0409870
BaRT2v18chr4HG217830;HORVU.MOREX.r3.4HG0414200
BaRT2v18chr4HG219590;HORVU.MOREX.r3.4HG0416970
BaRT2v18chr5HG224040;HORVU.MOREX.r3.5HG0427160
BaRT2v18chr5HG226120;HORVU.MOREX.r3.5HG0432270
BaRT2v18chr5HG230230;HORVU.MOREX.r3.5HG0442640
BaRT2v18chr5HG234210;HORVU.MOREX.r3.5HG0451540
BaRT2v18chr5HG235470;HORVU.MOREX.r3.5HG0454900
BaRT2v18chr5HG235800;HORVU.MOREX.r3.5HG0456510
BaRT2v18chr5HG236850;HORVU.MOREX.r3.5HG0462370
BaRT2v18chr5HG246340;HORVU.MOREX.r3.5HG0478190
BaRT2v18chr5HG246930;HORVU.MOREX.r3.5HG0479240
BaRT2v18chr5HG252520;HORVU.MOREX.r3.5HG0488480
BaRT2v18chr5HG253190;HORVU.MOREX.r3.5HG0489830
BaRT2v18chr5HG256480;HORVU.MOREX.r3.5HG0495090
BaRT2v18chr5HG257510;HORVU.MOREX.r3.5HG0496780
BaRT2v18chr5HG262690;HORVU.MOREX.r3.5HG0505470
BaRT2v18chr5HG263480;HORVU.MOREX.r3.5HG0507370
BaRT2v18chr5HG266580;HORVU.MOREX.r3.5HG0512230
BaRT2v18chr5HG271380;HORVU.MOREX.r3.5HG0520210
BaRT2v18chr5HG271620;HORVU.MOREX.r3.5HG0520760
BaRT2v18chr5HG278480;HORVU.MOREX.r3.5HG0532570
BaRT2v18chr5HG280990;HORVU.MOREX.r3.5HG0537010
BaRT2v18chr6HG284110;HORVU.MOREX.r3.6HG0540930
